=== VOD ITEMS DEBUG ===
Timestamp: 2026-03-13 00:16:27
VOD items loaded: 4620
  - VOD: AL - About My Father - 2023 (ID: 3966, Category: 428)
  - VOD: AL - Adam - 2020 (ID: 3890, Category: 428)
  - VOD: AL - Aftersun - 2022 (ID: 3793, Category: 428)
  - VOD: AL - Ahasss - 2023 (ID: 3929, Category: 428)
  - VOD: AL - Air - 2023 (ID: 3354, Category: 428)
  - VOD: AL - Air Force The Movie: Danger Close - 2022 (ID: 3696, Category: 428)
  - VOD: AL - Aisha - 2022 (ID: 3759, Category: 428)
  - VOD: AL - Alice, Darling - 2022 (ID: 3656, Category: 428)
  - VOD: AL - Alive! - 2009 (ID: 4168, Category: 428)
  - VOD: AL - All Eyes - 2022 (ID: 4004, Category: 428)
  - VOD: AL - All My Friends Hate Me - 2022 (ID: 4049, Category: 428)
  - VOD: AL - All My Puny Sorrows - 2023 (ID: 3907, Category: 428)
  - VOD: AL - All Souls - 2023 (ID: 3703, Category: 428)
  - VOD: AL - Ambush - 2023 (ID: 3320, Category: 428)
  - VOD: AL - American Murderer - 2022 (ID: 3694, Category: 428)
  - VOD: AL - Amsterdam - 2022 (ID: 3713, Category: 428)
  - VOD: AL - Anek - 2022 (ID: 3796, Category: 428)
  - VOD: AL - Apaches: Gang of Paris - 2023 (ID: 3567, Category: 428)
  - VOD: AL - Aquaman and the Lost Kingdom - 2023 (ID: 3571, Category: 428)
  - VOD: AL - Arbitrage  (ID: 4118, Category: 428)
  - VOD: AL - Arctic - 2018 (ID: 3872, Category: 428)
  - VOD: AL - Arracht - 2021 (ID: 3684, Category: 428)
  - VOD: AL - Asteroid City - 2023 (ID: 3306, Category: 428)
  - VOD: AL - Attack - 2022 (ID: 3906, Category: 428)
  - VOD: AL - Avarice - 2022 (ID: 3799, Category: 428)
  - VOD: AL - Avengement - 2019 (ID: 3372, Category: 428)
  - VOD: AL - Awareness - 2023 (ID: 4040, Category: 428)
  - VOD: AL - Baang - 2023 (ID: 4014, Category: 428)
  - VOD: AL - Baghead - 2023 (ID: 3531, Category: 428)
  - VOD: AL - Ballerina - 2023 (ID: 4062, Category: 428)
  - VOD: AL - Barbie  - 2023 (ID: 4104, Category: 428)
  - VOD: AL - Battle for Saipan - 2022 (ID: 3560, Category: 428)
  - VOD: AL - Bawaal - 2023 (ID: 3891, Category: 428)
  - VOD: AL - Beast - 2022 (ID: 3848, Category: 428)
  - VOD: AL - Beau Is Afraid - 2023 (ID: 3969, Category: 428)
  - VOD: AL - Bed Rest - 2023 (ID: 3572, Category: 428)
  - VOD: AL - Believer 2 - 2023 (ID: 3273, Category: 428)
  - VOD: AL - Bellflower - 2011 (ID: 3529, Category: 428)
  - VOD: AL - Beyond Outrage - 2012 (ID: 3588, Category: 428)
  - VOD: AL - Beyond the Gates - 2016 (ID: 3612, Category: 428)
  - VOD: AL - Bezos - 2023 (ID: 3675, Category: 428)
  - VOD: AL - Bird Box Barcelona - 2023 (ID: 4192, Category: 428)
  - VOD: AL - Birth/Rebirth (ID: 4119, Category: 428)
  - VOD: AL - Black Noise - 2023 (ID: 3974, Category: 428)
  - VOD: AL - Black Warrant - 2023 (ID: 4044, Category: 428)
  - VOD: AL - Black Water - 2018 (ID: 3532, Category: 428)
  - VOD: AL - BlackBerry - 2023 (ID: 3626, Category: 428)
  - VOD: AL - Blackout - 2022 (ID: 3812, Category: 428)
  - VOD: AL - Blonde - 2022 (ID: 3807, Category: 428)
  - VOD: AL - Blood for Dust - 2024 (ID: 3526, Category: 428)
  - VOD: AL - Blood Relatives - 2022 (ID: 4020, Category: 428)
  - VOD: AL - Blue Beetle - 2023 (ID: 4106, Category: 428)
  - VOD: AL - Blue's Big City Adventure - 2022 (ID: 3748, Category: 428)
  - VOD: AL - Bodies Bodies Bodies - 2022 (ID: 3825, Category: 428)
  - VOD: AL - Bones and All - 2022 (ID: 3732, Category: 428)
  - VOD: AL - Book Club: The Next Chapter - 2023 (ID: 3324, Category: 428)
  - VOD: AL - Born in China - 2016 (ID: 3274, Category: 428)
  - VOD: AL - Born to Fly - 2023 (ID: 3548, Category: 428)
  - VOD: AL - Bottoms - 2023 (ID: 4100, Category: 428)
  - VOD: AL - Boudica - 2023 (ID: 4015, Category: 428)
